img_name,Label
ace of clubs001.jpg,1
ace of clubs002.jpg,1
ace of clubs003.jpg,1
ace of clubs004.jpg,1
ace of clubs005.jpg,1
ace of clubs006.jpg,1
ace of clubs007.jpg,1
ace of clubs008.jpg,1
ace of clubs009.jpg,1
ace of clubs010.jpg,1
ace of clubs011.jpg,1
ace of clubs012.jpg,1
ace of clubs013.jpg,1
ace of clubs014.jpg,1
ace of clubs015.jpg,1
ace of clubs016.jpg,1
ace of clubs017.jpg,1
ace of clubs018.jpg,1
ace of clubs019.jpg,1
ace of clubs020.jpg,1
ace of clubs021.jpg,1
ace of clubs022.jpg,1
ace of clubs023.jpg,1
ace of clubs024.jpg,1
ace of clubs025.jpg,1
ace of clubs026.jpg,1
ace of clubs027.jpg,1
ace of clubs028.jpg,1
ace of clubs029.jpg,1
ace of clubs030.jpg,1
ace of clubs031.jpg,1
ace of clubs032.jpg,1
ace of clubs033.jpg,1
ace of clubs034.jpg,1
ace of clubs035.jpg,1
ace of clubs036.jpg,1
ace of clubs037.jpg,1
ace of clubs038.jpg,1
ace of clubs039.jpg,1
ace of clubs040.jpg,1
ace of clubs041.jpg,1
ace of clubs042.jpg,1
ace of clubs043.jpg,1
ace of clubs044.jpg,1
ace of clubs045.jpg,1
ace of clubs046.jpg,1
ace of clubs047.jpg,1
ace of clubs048.jpg,1
ace of clubs049.jpg,1
ace of clubs050.jpg,1
ace of clubs051.jpg,1
ace of clubs052.jpg,1
ace of clubs053.jpg,1
ace of clubs054.jpg,1
ace of clubs055.jpg,1
ace of clubs056.jpg,1
ace of clubs057.jpg,1
ace of clubs058.jpg,1
ace of clubs059.jpg,1
ace of clubs060.jpg,1
ace of clubs061.jpg,1
ace of clubs062.jpg,1
ace of clubs063.jpg,1
ace of clubs064.jpg,1
ace of clubs065.jpg,1
ace of clubs066.jpg,1
ace of clubs067.jpg,1
ace of clubs068.jpg,1
ace of clubs069.jpg,1
ace of clubs070.jpg,1
ace of clubs071.jpg,1
ace of clubs072.jpg,1
ace of clubs073.jpg,1
ace of clubs074.jpg,1
ace of clubs075.jpg,1
ace of clubs076.jpg,1
ace of clubs077.jpg,1
ace of clubs078.jpg,1
ace of clubs079.jpg,1
ace of clubs080.jpg,1
ace of clubs081.jpg,1
ace of clubs082.jpg,1
ace of clubs083.jpg,1
ace of clubs084.jpg,1
ace of clubs085.jpg,1
ace of clubs086.jpg,1
ace of clubs087.jpg,1
ace of clubs088.jpg,1
ace of clubs089.jpg,1
ace of clubs090.jpg,1
ace of clubs091.jpg,1
ace of clubs092.jpg,1
ace of clubs093.jpg,1
ace of clubs094.jpg,1
ace of clubs095.jpg,1
ace of clubs096.jpg,1
ace of clubs097.jpg,1
ace of clubs098.jpg,1
ace of clubs099.jpg,1
ace of clubs100.jpg,1
ace of clubs101.jpg,1
ace of clubs102.jpg,1
ace of clubs103.jpg,1
ace of clubs104.jpg,1
ace of clubs105.jpg,1
ace of clubs106.jpg,1
ace of clubs107.jpg,1
ace of clubs108.jpg,1
ace of clubs109.jpg,1
ace of clubs110.jpg,1
ace of clubs111.jpg,1
ace of clubs112.jpg,1
ace of clubs113.jpg,1
ace of clubs114.jpg,1
ace of clubs115.jpg,1
ace of clubs116.jpg,1
ace of clubs117.jpg,1
ace of clubs118.jpg,1
ace of clubs119.jpg,1
ace of clubs120.jpg,1
ace of diamonds001.jpg,1
ace of diamonds002.jpg,1
ace of diamonds003.jpg,1
ace of diamonds004.jpg,1
ace of diamonds005.jpg,1
ace of diamonds006.jpg,1
ace of diamonds007.jpg,1
ace of diamonds008.jpg,1
ace of diamonds009.jpg,1
ace of diamonds010.jpg,1
ace of diamonds011.jpg,1
ace of diamonds012.jpg,1
ace of diamonds013.jpg,1
ace of diamonds014.jpg,1
ace of diamonds015.jpg,1
ace of diamonds016.jpg,1
ace of diamonds017.jpg,1
ace of diamonds018.jpg,1
ace of diamonds019.jpg,1
ace of diamonds020.jpg,1
ace of diamonds021.jpg,1
ace of diamonds022.jpg,1
ace of diamonds023.jpg,1
ace of diamonds024.jpg,1
ace of diamonds025.jpg,1
ace of diamonds026.jpg,1
ace of diamonds027.jpg,1
ace of diamonds028.jpg,1
ace of diamonds029.jpg,1
ace of diamonds030.jpg,1
ace of diamonds031.jpg,1
ace of diamonds032.jpg,1
ace of diamonds033.jpg,1
ace of diamonds034.jpg,1
ace of diamonds035.jpg,1
ace of diamonds036.jpg,1
ace of diamonds037.jpg,1
ace of diamonds038.jpg,1
ace of diamonds039.jpg,1
ace of diamonds040.jpg,1
ace of diamonds041.jpg,1
ace of diamonds042.jpg,1
ace of diamonds043.jpg,1
ace of diamonds044.jpg,1
ace of diamonds045.jpg,1
